CoachName,Team,CoachTenure
 Bruce Arians ,Arizona Cardinals,6
 Dan Quinn ,Atlanta Falcons,4
 John Harbaugh ,Baltimore Ravens,11
 Rex Ryan ,Buffalo Bills,4
 Ron Rivera ,Carolina Panthers,8
 John Fox ,Chicago Bears,4
 Marvin Lewis ,Cincinnati Bengals,16
 Hue Jackson ,Cleveland Browns,3
 Jason Garrett ,Dallas Cowboys,9
 Gary Kubiak ,Denver Broncos,4
 Jim Caldwell ,Detroit Lions,5
 Mike McCarthy ,Green Bay Packers,13
 Bill O’Brien ,Houston Texans,5
 Chuck Pagano ,Indianapolis Colts,7
 Gus Bradley ,Jacksonville Jaguars,6
 Andy Reid ,Kansas City Chiefs,6
 Mike McCoy ,Los Angeles Chargers,6
 Jeff Fisher ,Los Angeles Rams,7
 Adam Gase ,Miami Dolphins,3
 Mike Zimmer ,Minnesota Vikings,5
 Bill Belichick ,New England Patriots,19
 Sean Payton ,New Orleans Saints,13
 Ben McAdoo ,New York Giants,3
 Todd Bowles ,New York Jets,4
 Jack Del Rio ,Oakland Raiders,4
 Doug Pederson ,Philadelphia Eagles,3
 Mike Tomlin ,Pittsburgh Steelers,12
 Chip Kelly ,San Francisco 49ers,3
 Pete Carroll ,Seattle Seahawks,9
 Dirk Koetter ,Tampa Bay Buccaneers,3
 Mike Mularkey ,Tennessee Titans,4
 Jay Gruden ,Washington Redskins,5
